x	y	y_std
0.5488	0.8243	0.0529
0.7152	1.1299	0.1548
0.6028	0.8912	0.0912
0.5449	0.7326	0.1137
0.4237	0.7115	0.0038
0.6459	1.0423	0.1235
0.4376	0.7381	0.1224
0.8918	1.2995	0.1234
0.9637	1.2154	0.1887
0.3834	0.6087	0.1364
0.7917	1.1072	0.0719
0.5289	0.8154	0.0874
0.5680	0.7820	0.1395
0.9256	1.2761	0.0120
0.0710	0.2337	0.1334
0.0871	0.1807	0.1341
0.0202	0.0630	0.0421
0.8326	1.2118	0.0258
0.7782	1.0834	0.0631
0.8700	1.2433	0.0727
0.9786	1.4330	0.1140
0.7992	1.1750	0.0877
0.4615	0.9862	0.1977
0.7805	1.1181	0.0204
0.1183	0.2984	0.0418
0.6399	0.9602	0.0323
0.1434	0.2053	0.1306
0.9447	1.2868	0.0507
0.5218	0.8090	0.0933
0.4147	0.7025	0.0489
