# ra   dec
1.505465330000000108e+02 2.397590999999999806e+00
1.505475360000000080e+02 2.404253000000000196e+00
1.505465169999999944e+02 2.402499999999999858e+00
1.505075249999999869e+02 1.788561000000000067e+00
1.505326709999999935e+02 2.145029000000000075e+00
1.505636729999999943e+02 2.202964999999999840e+00
1.505573080000000061e+02 2.174835999999999991e+00
1.505561779999999885e+02 2.166547000000000001e+00
1.505364800000000116e+02 1.931918999999999942e+00
1.505361849999999890e+02 1.930428999999999951e+00
1.505375019999999893e+02 1.939252999999999894e+00
1.505285540000000140e+02 1.891537999999999942e+00
1.505548279999999863e+02 2.828092999999999968e+00
1.505812449999999956e+02 1.661141999999999896e+00
1.505797029999999950e+02 1.656808999999999976e+00
1.505757800000000088e+02 1.636636999999999897e+00
1.505724969999999985e+02 1.630209999999999937e+00
1.505472599999999943e+02 2.289654000000000078e+00
1.505426679999999919e+02 2.267275999999999847e+00
1.505941320000000019e+02 2.019642999999999855e+00
1.505918320000000108e+02 2.009320999999999913e+00
1.505915660000000003e+02 2.012242999999999782e+00
1.505890190000000075e+02 2.002070999999999934e+00
1.505888710000000117e+02 2.002902999999999878e+00
1.505686320000000080e+02 2.317394999999999872e+00
1.505857249999999965e+02 2.063200999999999841e+00
1.505857460000000003e+02 2.059899999999999842e+00
1.505881589999999903e+02 2.076224999999999987e+00
1.505835240000000113e+02 2.059371000000000063e+00
1.505851570000000095e+02 2.060738999999999876e+00
1.505809490000000039e+02 2.046623999999999999e+00
1.505919419999999889e+02 2.109051000000000009e+00
1.505896089999999958e+02 2.099104000000000081e+00
1.505767610000000047e+02 1.858818999999999999e+00
1.505737970000000132e+02 1.828195999999999932e+00
1.502426370000000020e+02 2.716439999999999966e+00
1.502886509999999873e+02 2.453297000000000061e+00
1.502609889999999950e+02 2.762608000000000175e+00
1.504872269999999901e+02 2.668816000000000077e+00
1.505246699999999862e+02 2.691901000000000099e+00
1.505404299999999864e+02 2.061760000000000037e+00
1.505280549999999948e+02 2.096760999999999875e+00
1.505441329999999880e+02 2.420675999999999828e+00
1.505449590000000057e+02 2.735684000000000005e+00
1.505748040000000003e+02 2.791326999999999892e+00
1.505755729999999915e+02 1.925518000000000063e+00
1.504750669999999957e+02 1.815207999999999933e+00
1.504862029999999891e+02 2.391189999999999927e+00
1.504898540000000082e+02 2.709712999999999816e+00
1.504648569999999950e+02 2.150412000000000212e+00
1.505135070000000042e+02 2.196460000000000079e+00
1.505068180000000098e+02 2.772316000000000003e+00
1.496663330000000087e+02 2.516939999999999955e+00
1.496680379999999957e+02 2.527576999999999963e+00
1.496574129999999911e+02 2.806814000000000142e+00
1.495605669999999918e+02 2.259545000000000137e+00
1.495554549999999949e+02 1.719684999999999908e+00
1.495529270000000110e+02 1.704488000000000003e+00
1.495318080000000123e+02 2.366406000000000009e+00
1.495322480000000098e+02 2.375340000000000007e+00
1.495463019999999972e+02 2.706525000000000070e+00
1.495445510000000127e+02 2.682081000000000159e+00
1.495755890000000079e+02 1.824413999999999980e+00
1.495800700000000063e+02 1.839180999999999955e+00
1.495758040000000051e+02 1.815075999999999912e+00
1.495787569999999960e+02 1.829288000000000025e+00
1.495607569999999953e+02 2.114812000000000136e+00
1.495590280000000121e+02 2.119107000000000074e+00
1.495636550000000113e+02 1.850157999999999969e+00
1.495855489999999861e+02 2.210545999999999900e+00
1.502928330000000017e+02 2.191841999999999846e+00
1.500685599999999909e+02 2.703047000000000200e+00
1.499071580000000097e+02 2.246735999999999844e+00
1.499284680000000094e+02 2.253057000000000087e+00
1.499512579999999957e+02 2.629132999999999942e+00
1.499269989999999950e+02 2.611209000000000113e+00
1.499221389999999872e+02 2.339633000000000074e+00
1.499531340000000057e+02 2.409450999999999787e+00
1.499109599999999887e+02 2.384238999999999997e+00
