# ra   dec 
1.499821980628088909e+02 2.444899331071418214e+00
1.503151520033824511e+02 2.556309445248273970e+00
1.498416883437364220e+02 2.287722671171947830e+00
1.500225422672171760e+02 2.709330643675972983e+00
1.503491196646879473e+02 2.613575708731187053e+00
1.499482786219199966e+02 2.401450543649739089e+00
1.500629866835487860e+02 2.708684263961169236e+00
1.505132656288982389e+02 2.542649848884024788e+00
1.506511295823036960e+02 2.662780129618123048e+00
1.494305699334724977e+02 2.356462367068853592e+00
1.503068293890871985e+02 2.576145065439832571e+00
1.505407844056376518e+02 2.883855410283514331e+00
1.507913776229058840e+02 2.793433901824766696e+00
1.496325952541885442e+02 2.445968872720778897e+00
1.495689990259102160e+02 2.811377502361899872e+00
1.499987781475663553e+02 2.704397679462905213e+00
1.496809300914488574e+02 2.355761859876590147e+00
1.500434215389122130e+02 2.102468832000176757e+00
1.498148228048328008e+02 2.808675713985399280e+00
1.498347577425581676e+02 2.444832035229110634e+00
1.497846171769243995e+02 1.959076041870126517e+00
1.497443652434762953e+02 2.816213343927518320e+00
1.494749674755936155e+02 2.560786698809078832e+00
1.500639742058449997e+02 2.888532383093809219e+00
1.495555539990606633e+02 2.093363714200609405e+00
1.504872171013819582e+02 2.508203995421467436e+00
1.507415516648253799e+02 2.763729015062591277e+00
1.494169038951542632e+02 2.125800111737201181e+00
1.500290876472382990e+02 2.777586803269795457e+00
1.500076199212102210e+02 2.482801306293034305e+00
1.506911753645597685e+02 2.864009427647609130e+00
1.506093710498518021e+02 2.868742468972673265e+00
1.499405122720577879e+02 2.757344650474992331e+00
1.497685841793035024e+02 1.938479786543768180e+00
1.498251588261046550e+02 2.760822268756263576e+00
1.494628610285524815e+02 2.429572106761522132e+00
1.500056148131392888e+02 2.006368360914123627e+00
1.498036322830515985e+02 2.898214447761432666e+00
1.496883749725306529e+02 2.291015776196778209e+00
1.501157114828116903e+02 2.779160536482546462e+00
1.494920053391750514e+02 2.179239517737713072e+00
1.496708319464582075e+02 2.755247608701748785e+00
1.500329595497120465e+02 2.514436376630348136e+00
1.494614761522310573e+02 2.178627051902354950e+00
1.507157129037514096e+02 2.675050298600915699e+00
1.499630498968457744e+02 2.238141923533671473e+00
1.496907807275617586e+02 2.083792887883085587e+00
1.503744069150779410e+02 2.889827418618069910e+00
1.497507718887891315e+02 2.780861524869651991e+00
1.496450802567217409e+02 2.538541561974969163e+00
1.495741834650418980e+02 2.600027752043152951e+00
1.496699079821451335e+02 2.720267351205706952e+00
1.499818645885249850e+02 2.180689236223640748e+00
1.501586775492003483e+02 2.290351661992542365e+00
1.494749856156689987e+02 2.262820827103581234e+00
1.501379862638690099e+02 2.404675510845889708e+00
1.495436284613103624e+02 2.738811055486717549e+00
1.494026227984109880e+02 2.274668206592096897e+00
1.497124088657773768e+02 2.356385969554661397e+00
1.501289711702081036e+02 2.816681428393888353e+00
1.501497217582085284e+02 2.407241182247570777e+00
1.499316910388793076e+02 2.262788192826154177e+00
1.495780013485635038e+02 2.018848263393884235e+00
1.505650466394366163e+02 2.509946491560289594e+00
1.498239707901654754e+02 2.011804474358722672e+00
1.502994441939054298e+02 2.541733605702585219e+00
1.498366555657704851e+02 2.434493578718455176e+00
1.500275720070636112e+02 2.538734295537427688e+00
1.499804616945364444e+02 2.201486532157397313e+00
1.497467510343633705e+02 2.834349706291859672e+00
1.500218567514198753e+02 2.546172967151641764e+00
1.495462994255049978e+02 1.991379069291940196e+00
1.500300516856428601e+02 2.240649455635614462e+00
1.497328048446185562e+02 2.144179720292070268e+00
1.496049795794299655e+02 2.141098381524128236e+00
1.497225590968477889e+02 2.039889233177594186e+00
1.494908879886112345e+02 2.314695551385489214e+00
1.505274812170233076e+02 2.493916889900766432e+00
1.503608320377887253e+02 2.699773757865943757e+00
1.500098336136954629e+02 2.549862986022071176e+00
1.502939326355637775e+02 2.407043335964402786e+00
1.497439756503981982e+02 2.228265307984397481e+00
1.502567397538088585e+02 2.763031527253025033e+00
1.495863070995436601e+02 2.477559560587507370e+00
1.497797464294717145e+02 2.898261629440038956e+00
1.506022466313366408e+02 2.723570872136196197e+00
1.501536189550205620e+02 2.399302322691045042e+00
1.504537585592233597e+02 2.496215844626032965e+00
1.505399159947579335e+02 2.796960170445452754e+00
1.496739162585435281e+02 2.668903684667832454e+00
1.505295196450400397e+02 2.507092079984627464e+00
1.495801744534329885e+02 2.558267903179487490e+00
1.504798528644161593e+02 2.841512388816181733e+00
1.494342931467236895e+02 2.442575032984139138e+00
1.497713102120410156e+02 2.430813377933676911e+00
1.495431432388160999e+02 1.992279733769771743e+00
1.497977840314270281e+02 2.190191809892794161e+00
1.497544181378711414e+02 2.762384335971017180e+00
1.500888205078949511e+02 2.778990177701753606e+00
1.497012766380487108e+02 2.852504217963284905e+00
1.497965337769496159e+02 2.012820680748408364e+00
1.501030527363663793e+02 2.693712494287851200e+00
1.502149027937882977e+02 2.503477821659630731e+00
1.504420013718587938e+02 2.860517630954881874e+00
1.500314176410181517e+02 2.694940919765516529e+00
1.500993098339090466e+02 2.812026856755639681e+00
1.504939732867433406e+02 2.499182291538325273e+00
1.503920176411965315e+02 2.718817262191167927e+00
1.497665705501360662e+02 1.884441748920497206e+00
1.497856022096927404e+02 2.794889437113949437e+00
1.499523631503643628e+02 2.515502661899615688e+00
1.499786038656813218e+02 2.119689749195428963e+00
1.497613106981794431e+02 2.249490758659490997e+00
1.500524201977760583e+02 2.591717250497730163e+00
1.495662933678647164e+02 2.450964277283868231e+00
1.496227453217261143e+02 2.451128585841702456e+00
1.498359661688990343e+02 2.120655327237249033e+00
1.501108404607618638e+02 2.104362118826768491e+00
1.499645543050762910e+02 2.149685097391155875e+00
1.495800448055474874e+02 2.221543745802267100e+00
1.500640545417102203e+02 2.101410612728942251e+00
1.496303117686699693e+02 2.843635658202986694e+00
1.494755392736000204e+02 2.440766203702124493e+00
