# CAT	NUMBER	R	V	RA		DEC
Mag	S	0.032	170	00:51:00	-73:06:00
Mag	L	0.034	290	05:24:00	-69:48:00
NGC 	6822	0.214	-130	19:44:58 	-14:48:12
NGC 	598	0.263	-70	01:31:02	30:24:15
NGC 	221	0.275	-185	00:39:58	40:35:20
NGC 	224	0.275	-220	00:40:00	40:59:43
NGC 	5457	0.45	200	14:01:26	54:35:18
NGC 	4736	0.5	290	12:48:32	41:23:32
NGC 	5194	0.5	270	13:27:46	47:27:10
NGC 	4449	0.63	200	12:25:45	44:22:12
NGC 	4214	0.8	300	12:13:09	36:36:17
NGC 	3031	0.9	-30	09:51:27	69:18:08
NGC 	3627	0.9	650	11:17:39	13:15:56
NGC 	4826	0.9	150	12:54:16	21:57:12
NGC 	5236	0.9	500	13:34:12	-29:36:39
NGC 	1068	1.0	920	02:40:07	-00:13:32
NGC 	5055	1.1	450	13:13:35	42:17:35
NGC 	7331	1.1	500	22:34:47	34:09:20
NGC 	4258	1.4	500	12:16:29	47:34:53
NGC 	4151	1.7	960	12:08:01	39:41:02
NGC 	4382	2.0	500	12:22:53	18:28:06
NGC 	4472	2.0	850	12:27:14	08:16:36
NGC 	4486	2.0	800	12:28:18	12:40:02
NGC 	4649	2.0	1090	12:41:09	11:49:35
