# ID RA(J2000) DEC(J2000) Z E_Z
        2120  295.5255000   40.2394200 -0.00001933  0.00000123
         178  295.3183237   39.9830598  0.06125667  0.00035667
         371  295.5635800   40.1555300  0.00000837  0.00000080
         916  295.5004200   40.0319400 -0.00008763  0.00000117
        2199  295.2318300   40.2046100  0.00000900  0.00000117
        2138  295.2487766   40.2301609  0.07442000  0.00020000
          56  295.4087668   40.0276815  0.13485999  0.00026000
        2131  295.5648411   40.3084927  0.12740000  0.00022667
         891  295.4080617   40.3561590  0.12242000  0.00025000
         701  295.1135400   40.0219400  0.00002050  0.00000020
        2189  295.3405400   40.1345600  0.00000887  0.00000177
         478  295.1639759   40.0074450  0.02217000  0.00028333
        1490  295.3918031   40.0520137  0.13172001  0.00020667
         393  295.5560400   40.2331100 -0.00002727  0.00000267
        1165  295.2079600   40.0092500 -0.00026103  0.00000040
        1331  295.4832900   40.2050000 -0.00001200  0.00000117
        1275  295.5360313   40.1367646  0.08106333  0.00024667
        1073  295.3710400   40.1266100  0.00001637  0.00002363
         552  295.4407500   40.2395000  0.00000417  0.00000063
          50  295.3278700   40.2133353  0.10306667  0.00017667
        1839  295.3475400   40.2546400  0.00002783  0.00000110
        1462  295.3376732   40.3361772  0.10451667  0.00020000
        1156  295.4912100   40.3306100 -0.00014550  0.00000127
        1218  295.0990000   40.3008300 -0.00011443  0.00000263
        1952  295.2032900   40.2849200 -0.00003250  0.00000210
        1786  295.4674756   40.3258257  0.25394666  0.00033000
        2103  295.3368300   40.2959200 -0.00008680  0.00000133
        2118  295.4993392   40.2842897  0.08021333  0.00031667
         243  295.4720559   40.1283746  0.09893333  0.00033667
        1864  295.4642601   40.0601564  0.05982000  0.00018667
         289  295.3020800   40.0698100 -0.00009450  0.00000060
         838  295.5474200   40.2962200 -0.00003860  0.00000453
         830  295.2903700   40.2405800  0.00000530  0.00000163
         440  295.1148700   40.0136400  0.00003717  0.00000153
         105  295.3653300   40.1540800 -0.00020183  0.00000170
         618  295.3169600   40.1421100 -0.00000147  0.00000687
        1961  295.4467336   40.2863726  0.08693333  0.00013000
        1033  295.3112100   40.2364200  0.00001203  0.00000117
        2326  295.4345000   40.0740000 -0.00003207  0.00000197
        1224  295.5612181   40.0315496  0.12516667  0.00017333
        2139  295.4817984   39.9810795  0.12461000  0.00020000
         245  295.1885400   40.2835800 -0.00005663  0.00001197
        1410  295.4876005   40.1714111  0.16906667  0.00023000
         795  295.3939600   40.1910600  0.00000740  0.00000063
         308  295.2367900   40.0672500  0.00001280  0.00000033
        2097  295.2115848   40.0615471  0.06240000  0.00017333
        1586  295.5149281   40.1858348  0.06213333  0.00019333
        2357  295.2319200   40.1136900 -0.00015970  0.00000117
         581  295.3768300   40.2457200  0.00000513  0.00000527
        2160  295.5760368   40.1434887  0.11089333  0.00028667
        2049  295.1742100   40.0513100 -0.00022377  0.00000057
        2075  295.1778300   40.3099400 -0.00019443  0.00000013
         117  295.4546700   39.9922200 -0.00002797  0.00000063
           9  295.3850644   40.3588219  0.09386333  0.00018333
        1398  295.2374906   40.2312219  0.19938999  0.00030667
        1080  295.3115275   40.0988637  0.02960000  0.00017333
         402  295.5416845   40.0608610  0.09326667  0.00022000
        1554  295.1180800   40.0651400 -0.00019147  0.00000133
         833  295.1986914   40.3392187  0.13675000  0.00020333
        1420  295.4377100   40.1210000 -0.00001030  0.00000633
        1837  295.5491963   40.0911414  0.16324334  0.00024667
        2401  295.5339040   40.0548499  0.05993333  0.00026000
        1023  295.4545303   40.0470161  0.09811000  0.00018333
         835  295.3954200   40.2801400  0.00000653  0.00000167
