# ID RA(J2000) DEC(J2000) Z E_Z
          42   23.1306540  -40.6749194  0.11629333  0.00023333
         243   35.9318529 -106.3696781  0.09326667  0.00022000
         244   20.4706897   69.2689761  0.07593333  0.00013000
         108   12.5569700 -132.3618867  0.03356333  0.00009000
         275   29.0890578  -53.6957742  0.09573000  0.00029000
         174   31.6106448 -118.4658451  0.14433333  0.00020000
         261    4.2614697  -92.0353561  0.10880000  0.00017333
          87   26.4827312   78.5712940  0.06664333  0.00014333
         306   10.2543732 -176.3136542  0.08353333  0.00017333
         363    4.8157533  136.6113205 -0.00137000  0.00002333
         173   16.1656284  -47.9882979 -0.00102333  0.00000667
         352    6.1559476   -5.9960337  0.06192667  0.00011667
         276    1.9410152  -53.3105591  0.01857667  0.00017000
         290   31.4297986   19.5516870  0.14713334  0.00039333
         337    3.6488490 -165.3141460 -0.00132000  0.00003333
          81    4.9711419 -163.1162784 -0.00118333  0.00003333
         278   14.7835575  131.7924101 -0.00060000  0.00000333
         138   21.6914320 -101.3391956  0.12119666  0.00022000
          59    6.4410144   72.9173523  0.09164666  0.00014333
         259    4.2948353   29.2675840 -0.00032667  0.00002000
         160   30.2172564   39.1723522  0.07072667  0.00024333
         321    3.8850944  -10.5454528  0.10433333  0.00017333
         282   18.7516871 -159.1170110  0.04074667  0.00035000
         266   32.5728409   85.4902128  0.07630000  0.00014000
         182   10.0411103  145.5405488  0.04430667  0.00010333
           3   27.4568839  132.9331924  0.22723334  0.00013000
         357    8.5019901  168.6175563 -0.00118333  0.00002333
         143   35.4095991  -55.6976858  0.08681000  0.00023000
         214   14.5913665   44.2007551  0.10853000  0.00018333
           4    1.5364838    9.8162287 -0.00092333  0.00002667
         112    8.0308301   35.3386181 -0.00134333  0.00001333
         126   26.5082172 -160.0996895  0.20503999  0.00023333
         280    3.1064545  -13.8371341 -0.00044000  0.00004000
         342    6.9566033  171.9485334 -0.00185700  0.00000567
          71   21.8628453   13.6186189  0.16377333  0.00030667
         271   16.7229438 -160.3798544  0.10925333  0.00032667
         205    8.9983217  -78.3510390 -0.00120833  0.00000300
         171    2.4709842 -134.2516732 -0.00117333  0.00006333
         211   27.5183676  -63.3286465  0.09966667  0.00021667
         213   37.2828050 -144.3708925  0.07666667  0.00021667
         105    7.4529570  -25.3026129 -0.00087200  0.00001000
         350    0.9601835 -146.6685256  0.07260333  0.00019333
         165    9.1939226   82.0581627  0.11896667  0.00027667
         130   23.2743747   83.8856045  0.10224666  0.00014667
         186    6.0910055  -54.2963746 -0.00149000  0.00004333
         326    9.4819779 -131.7686167  0.03806667  0.00008667
         107   11.0179037 -127.5474775  0.04213667  0.00014667
          23   39.4656565  171.3104460 -0.00077333  0.00001667
         169   10.3427485  159.7303172 -0.00083333  0.00002000
         308   13.8824781  157.3672401  0.12475333  0.00030333
         117   21.1326281   -2.4212404  0.06970333  0.00021667
         142   10.0804426 -151.4155303  0.06606667  0.00034667
          30    8.5019901  168.6175587 -0.00104000  0.00005667
         194    1.0627294   49.0765799  0.06503333  0.00026000
          89    3.2883577   77.4824295 -0.00090667  0.00018000
         258   32.5639393  -15.1970645  0.06348000  0.00013000
          62   10.0058530  164.2266228  0.05590000  0.00013000
         284    6.8647597  -13.6685348  0.03066000  0.00022000
         212    3.4080077  134.1857452 -0.00071667  0.00002000
          82   26.6396364  165.6426618  0.10365666  0.00020333
          60   11.9973833  -61.5846962  0.05787667  0.00014333
         307    4.6669598  152.4827387  0.09449000  0.00020000
         153   21.7519393  147.2150756  0.05458667  0.00014333
          45    9.5004449  158.0501279 -0.00122333  0.00001667
          66    4.7625849  -66.2689506  0.09361666  0.00014000
         125   35.3438837 -111.4751493  0.05993333  0.00026000
         281   28.8166676  -37.8884044  0.21146999  0.00032667
         149   32.3821983  -41.4726851  0.09851667  0.00014333
         123   16.0619035  141.6053441 -0.00042333  0.00001000
         172   27.2662599   83.4446337  0.06606667  0.00027667
          12   18.3269916  -68.7830888  0.13123333  0.00026000
          64    2.5388374 -143.1923105  0.05329333  0.00014000
         152    3.2501425  154.9818250 -0.00103667  0.00002000
         288   24.5669656   53.1791735  0.05370333  0.00014000
          47    0.8024910  123.4194974  0.09750000  0.00032667
         158    7.0997916   -5.0794806 -0.00067333  0.00002333
         162    7.2318653  139.4962640  0.11439000  0.00018333
         131    2.8419012   57.0240847 -0.00040333  0.00005000
         192   18.3720929   -9.1141023 -0.00114667  0.00001667
         327   28.3342938  153.0175098  0.12455000  0.00016000
         257   23.1509645   62.6684181  0.09958667  0.00014333
          86   18.7740260  -95.1792136  0.15077333  0.00024667
         170   29.3171825  -15.9794777  0.13760333  0.00031333
         283    8.1130898  -97.0771899  0.07652666  0.00013333
          57   38.9730302  -26.5738977  0.12168667  0.00022667
         293   28.8597959 -110.9617591  0.08542334  0.00017667
          34   13.6313294 -160.9134462  0.08087333  0.00011000
           5    1.3455498   60.7489056 -0.00063667  0.00003333
         163   22.0155048   57.6939914  0.10800000  0.00017333
         297   16.6343721  -12.8812989  0.06763333  0.00019000
         309    2.4423443  -90.0993149 -0.00122667  0.00002667
         119    4.7597538   28.4314641 -0.00060333  0.00001667
         272   16.0619035  141.6053441 -0.00043267  0.00000667
         199   12.1886539  -21.4314876  0.12729999  0.00019000
          56   22.6808128  -13.0370782  0.07753333  0.00015667
          76   36.7709115 -122.5509328  0.13893667  0.00020667
         216   18.3902311   29.3211531  0.14496000  0.00023333
         193    8.7382486   89.3526676 -0.00055667  0.00003333
         133   19.4254014  126.1936398  0.10264666  0.00024333
         242    2.7573627 -127.9308988 -0.00200000  0.00002333
         148   39.0709101   95.7685254  0.10851666  0.00027333
          96    2.6796129 -144.0788959  0.08736667  0.00021667
         167   35.1775526  -83.1858341  0.09295667  0.00022000
          11   11.6928356  -16.6372485  0.16909334  0.00030667
         121   31.2597507  173.7168151  0.06496666  0.00015333
         373   10.8034144  -24.6118101  0.15430000  0.00021667
         134   18.9151834  -70.2000123  0.14383334  0.00019333
         329   10.4726223   -7.0684927  0.12083000  0.00034333
         369    6.6549601  -18.5961139  0.10255667  0.00032000
         252   27.8344686   47.3915443  0.10537000  0.00014333
         217    4.0963274 -155.8297949 -0.00124667  0.00002000
         127   10.3156501  136.8378291 -0.00062667  0.00001000
         310   35.5843797  -33.8706185  0.05033667  0.00012000
         237   12.9164825 -141.2610124  0.08933333  0.00017333
           8   24.8982785   16.2855038  0.09101333  0.00021333
         246    3.5274859   71.4488266 -0.00080000  0.00002333
         303    5.9146920 -123.9505820  0.16458000  0.00019333
          28    4.3899119  135.8899899 -0.00096000  0.00001333
         260    7.7134976 -141.9364493 -0.00037200  0.00000533
         195   35.4925375 -164.5711598  0.07338667  0.00012000
         190   27.3045646 -103.7531998  0.03307333  0.00013000
          43   15.4600123  115.3307497  0.10050000  0.00020667
         265    6.0637198  -48.0542683  0.14011334  0.00020333
         376    4.6983722  -20.9332658  0.09491666  0.00007333
         269    3.2225335  -18.1912546 -0.00083867  0.00000667
         178   15.1273933  137.6522692  0.12362666  0.00020667
         157   30.0678663    5.9942184  0.11669333  0.00024333
         191    6.1098255   86.4520132  0.14192000  0.00027000
         208    3.2766044  169.8744938 -0.00126667  0.00000667
         377    3.7985324  -78.2157860 -0.00128333  0.00002000
         141    4.5941561  156.5578493  0.11310667  0.00017000
          85    7.8062780   24.0634881 -0.00107667  0.00002333
         356   21.8226461  150.8263234  0.06163333  0.00039000
           2    3.3913148 -115.3750917 -0.00081667  0.00002333
         147   27.5645975  131.8101372  0.06253333  0.00008667
         198    5.7444072 -110.0711193 -0.00066667  0.00016000
          33    0.8437405   -0.7024354  0.24581000  0.00016333
         116    7.0156458  103.8514997 -0.00084333  0.00003333
          84   21.1280608 -122.1799752  0.08750000  0.00017333
         239   24.3009463   23.4452202  0.09573667  0.00013333
         137    5.6051848   48.9137843 -0.00054667  0.00001000
         334   14.3787776  -56.6495565  0.08770000  0.00021667
          94    6.9566033  171.9485334 -0.00185333  0.00001667
           7   15.0267485  -57.8023797  0.08230333  0.00027333
         228   24.0626827  138.3531388  0.13695666  0.00026000
         151    7.8138808   73.3020514  0.16040333  0.00020333
         232   33.5129718  163.4772735  0.07633334  0.00021667
         314   17.4351411 -137.3015673  0.15627000  0.00026000
         292    4.1723096 -126.0077545  0.19116667  0.00043333
         378   38.3474460 -138.8757179  0.08743333  0.00013000
         267   36.9089417   61.0430659  0.06210000  0.00017333
         324    7.3619151  -65.7377053 -0.00061000  0.00002333
         364   13.9509771   95.2504547  0.20187333  0.00022000
         380    9.1193110  -44.8970818 -0.00132333  0.00002333
          74   18.5806302   42.6216081  0.05903333  0.00017333
         202   28.0964053 -112.2360657  0.07738333  0.00014000
          69   35.6727778  170.7121523  0.06929000  0.00035667
         203   26.7613455   58.2977334  0.10556334  0.00026333
         277   39.1327411  150.1965726  0.06419667  0.00016333
         313   36.5872737  -19.4235108  0.02880667  0.00019333
         177    2.7716419 -119.7737462 -0.00181333  0.00002000
         185    3.5491285  115.8183258  0.15120333  0.00043667
         140   15.0564219  171.3784418  0.03183000  0.00022667
         114   29.8954463  -87.8887686  0.05348000  0.00012667
           6    3.5165342  161.3404568 -0.00134667  0.00005000
          58    1.9899322   80.8230201 -0.00064667  0.00002333
         339   38.5571175   77.4235778  0.06801000  0.00010333
         146    1.9949697 -116.1724503  0.05045667  0.00011667
          91   29.0112414   54.6286133  0.12622666  0.00024000
          67    3.0404988 -112.4586670 -0.00173000  0.00005333
         274    3.2854055  -98.0783090 -0.00077667  0.00003000
         300    3.2984496    8.7573044  0.03141667  0.00013333
          93   13.5816286 -146.6160183  0.09565000  0.00017667
         311    3.0409577 -115.2033996 -0.00183667  0.00006000
         347    4.2285605  -12.6971427 -0.00179867  0.00001567
         236    7.3481989  165.6753906 -0.00089333  0.00015667
         365    4.6987296   -6.3017691  0.06432334  0.00011667
          48   12.0367657  112.3074700  0.09726667  0.00013000
          29   33.0383484 -143.9627959  0.06827667  0.00025667
         362   38.1276124  -31.4861453  0.09856334  0.00016333
          52   24.4466547   60.1583444  0.09716333  0.00018333
           0   12.5436538 -159.4376791  0.16688000  0.00027333
         218    6.8387199  114.8607583 -0.00107667  0.00001667
          20   23.7457497  -70.2224725  0.07470000  0.00013000
         207   24.5936493 -131.5684961  0.05936000  0.00020000
          38    2.4209975   56.1077709 -0.00031333  0.00002667
         238   17.9852857   56.3129117  0.04975667  0.00011667
         285    3.6199169   42.8747257  0.12400000  0.00086667
           1    3.7173168    2.3484923 -0.00068667  0.00007000
          68    8.1919106  -23.3146853  0.02930333  0.00010000
         289    3.9089638   65.3120493 -0.00075333  0.00002000
          88    3.2387657   68.6557983 -0.00119667  0.00005333
          98   12.3631129  118.1093146  0.08602000  0.00010000
         110   29.1286861 -109.4908015  0.11763000  0.00019333
         196   20.6418141  116.3346275  0.07287333  0.00025000
          25   16.1600574   57.1721089  0.09765667  0.00030667
          51   14.3402527  174.0843715  0.08962000  0.00016000
         354   36.9151961   44.0820832  0.17160666  0.00019333
         253   13.7288562   67.6111076  0.13624667  0.00028333
         319   30.6274764 -148.9589695  0.10479333  0.00024333
         128    5.5675053   76.7128943  0.12100333  0.00014333
         129   28.1816622    4.8135436  0.14390001  0.00027667
          50    2.0177882  -87.2070422  0.09512000  0.00020000
         225    5.4276116  163.6611255  0.11132333  0.00018667
         197   33.5173061    5.5373474  0.11200000  0.00018333
          83    6.7481515  141.9885422  0.09976666  0.00030667
          72    8.2127249   48.6506754 -0.00042733  0.00001733
         109    5.5250179 -112.6389499  0.11348667  0.00020333
          31   34.1206760  163.3522837  0.09927333  0.00015667
          17    9.2784928  102.1304761 -0.00079233  0.00000400
         188   39.3202145 -104.8098693  0.23284334  0.00033333
         136    3.0480033   75.7187550 -0.00045000  0.00005333
         124    4.6581608 -119.3842413  0.22266333  0.00030000
         344   29.3662297  -91.0746350  0.10360000  0.00017333
         268   14.9909477  -68.0832616  0.14139000  0.00027667
         335    5.0355838  142.0601240 -0.00122000  0.00002000
         338    5.7383940 -166.1714731 -0.00117333  0.00003000
         372    3.2758741   88.2314387  0.26354334  0.00036333
         349   33.2287533 -138.0435378  0.13220000  0.00021667
         375    0.7863948 -161.7175628  0.04076333  0.00011000
         103    7.5014450  174.2714162 -0.00142500  0.00001167
         210   20.9218801   89.5509606  0.12903000  0.00023333
          10   17.2197268  -58.4332467  0.07019667  0.00010333
         315    4.3349292  -81.7236743  0.06890666  0.00013000
         132    2.7093453  124.0353906 -0.00125667  0.00003667
         233   23.8353829   97.3765664  0.13330001  0.00021667
         287    8.3354110  -15.1150156  0.17701000  0.00030000
         332   29.6500893   95.6183481  0.10670000  0.00034667
         155   14.3040732   38.8402815  0.10163333  0.00034667
          15   36.2173741   -4.2950874  0.10177334  0.00013333
         270    6.3488442    3.7060095  0.06428000  0.00009667
         295   25.3306405  -78.6807353  0.14143333  0.00043333
         227    3.3781337  -23.9176690  0.06615333  0.00017333
         323   22.3040716  -53.6725979  0.16377333  0.00030667
         120    1.3288000  -32.9724735 -0.00090333  0.00005000
          24    8.9983217  -78.3510390 -0.00120333  0.00002000
         234   31.5024255  -97.8089174  0.05066667  0.00013000
         100   15.0908829  138.9443081  0.07878666  0.00020667
         320    0.4038441 -178.8741578 -0.00068333  0.00001000
         247    5.7110199   75.8525261 -0.00099000  0.00003000
         122    5.4147727 -174.5842323 -0.00122333  0.00003333
          53   14.5007593   35.0234060  0.10202000  0.00025667
          73    4.1403759  -18.6660957 -0.00015333  0.00002667
         343    3.3235878 -149.9085894  0.10888667  0.00027667
         222   14.3533837  138.0219526  0.15621667  0.00024333
         345    2.8554091  174.0628132 -0.00090667  0.00006000
           9   32.5974903  -57.9539786  0.03606000  0.00009667
         336    3.0776492  -17.8914951 -0.00071000  0.00002333
         183    2.5407768 -130.9149311 -0.00111667  0.00002000
         254    8.7023317  -71.0057873 -0.00111000  0.00007000
         328    2.1259177 -130.0516933 -0.00154333  0.00001333
          36    3.9466489 -128.3750941 -0.00093000  0.00005000
         135    3.2883575   77.4824621 -0.00092333  0.00004333
         302    3.3913046 -115.3736173 -0.00073000  0.00005000
          80   31.7750441  -53.8147199  0.12393333  0.00039000
         204   34.4227163  -23.2808948  0.17947000  0.00037667
         115   32.0486064   99.2296801  0.04020000  0.00016000
         219   16.8423727   98.3790754  0.24439667  0.00021667
          54   28.5336865 -150.8542528  0.15945333  0.00019000
          22    8.3970481  -82.8029931 -0.00088667  0.00001333
         256    6.8537236  -83.4682012 -0.00109000  0.00005000
         164   28.8064518  130.2660969  0.10654000  0.00028667
         368    2.4694192 -132.1382180 -0.00158667  0.00002000
         220    4.6437547 -142.6136790 -0.00113667  0.00003000
         262   32.6110710   75.1942731  0.08813334  0.00022000
         294   27.8835372 -100.6143943 -0.00110367  0.00000600
         312   32.7656390  -73.7518188  0.24554333  0.00046667
         102   13.0313558   -8.5148577  0.02026333  0.00008667
          90   18.8008938   -7.9561837  0.16882333  0.00038000
         333   38.6352602  155.3112574  0.17221667  0.00018667
         359    6.5862488  -51.0795117 -0.00145000  0.00003333
          55    7.5619220   81.7288077 -0.00079667  0.00002667
          40   19.8913412  165.4244154 -0.00095333  0.00001333
         106    3.5806245  -26.1193959  0.02093333  0.00026000
         179   25.5396222 -138.5376951  0.20866667  0.00030333
         370    2.2258094  168.1118374  0.11060000  0.00021667
          21    3.0863466  119.9865199 -0.00058667  0.00001667
         304   38.3093767   10.2070600  0.16140001  0.00030333
         181    1.9337566   75.1674430  0.06297334  0.00028667
          78   17.3881108   62.1913297  0.10097333  0.00025667
          16   36.9712853  132.1872548  0.08947334  0.00013333
         241   32.3066049   12.1880698  0.08453666  0.00010333
         201    0.5960564  115.3311077  0.10983333  0.00020667
         374    2.0164632  143.7765601  0.03820667  0.00010333
          27    4.3899117  135.8899951 -0.00096000  0.00000667
         245    8.5180798   90.2521120 -0.00062000  0.00002333
         176    2.2054850    9.5680941 -0.00133000  0.00002333
         113   36.4515225   28.1112895  0.21518667  0.00036667
         145   20.2606361   39.8188666  0.07268666  0.00016333
         340   38.2525069 -114.8604625  0.11662000  0.00024333
         223    4.0268325 -179.0198228 -0.00082000  0.00005333
          26    7.9893266  120.9638632  0.16683666  0.00021333
          14    1.1745795   -2.2001442  0.10230333  0.00013333
         156    5.6205320  -89.6320344  0.06126333  0.00016000
         291   21.3503925   26.0312355  0.12749666  0.00026333
          44   19.7706108  -42.6703341  0.07660333  0.00024333
         299   22.7128514 -138.0256501  0.02972667  0.00022000
         224   24.9415839   49.8594353  0.08563667  0.00015333
         101   30.0096240  -92.2451537  0.12940666  0.00032667
         361    2.6901259   43.4152785 -0.00070333  0.00001000
         206   32.5705969  -25.7636119  0.17657000  0.00013333
         264    7.3079217  136.6849832 -0.00097000  0.00002000
         367   28.1352995   87.8716323  0.05445333  0.00027333
          49    9.2407147 -128.7632737 -0.00152067  0.00001200
         166    4.1144460  -49.3482342  0.11686666  0.00021667
          65    4.9749299  -66.6369169 -0.00190000  0.00015000
          75    1.4709640  164.6432275  0.20730001  0.00034667
          39    7.2954119   93.7886318  0.17018333  0.00029333
         358   21.3413838 -142.6744662  0.07583334  0.00019000
         331   30.8929877 -114.2636018  0.03604000  0.00027333
         355    0.6086944  -46.6604768 -0.00081333  0.00001000
          35    2.5166730   78.0879087  0.10494000  0.00021333
         325    3.7181653 -113.4429168 -0.00163333  0.00005000
         318   11.7101384  170.4957242 -0.00159333  0.00001667
          18   12.9437640   38.3230742  0.19938999  0.00030667
         251   30.6106916 -113.6856318  0.04400333  0.00012000
         139    2.3269049  -80.6779898 -0.00130667  0.00004000
         215    2.1083933   26.1678190 -0.00032333  0.00002000
         161    2.8792686   79.8190067 -0.00116333  0.00003667
         360    3.8606774   82.4513068  0.12287667  0.00022000
         263    6.3083038 -135.1442126 -0.00121000  0.00003000
         379    8.5734044  -95.3921701  0.03589000  0.00017333
          19   36.2844597    7.5730495  0.17791334  0.00025667
         255    6.2900567 -102.7744867 -0.00150667  0.00006000
         180    6.0223787  -20.9728281 -0.00035933  0.00000333
         286   27.6831537 -146.0744475  0.10086000  0.00025667
          13   15.4523283   17.6966779  0.11218667  0.00021667
         366    7.4331242  -12.3008561 -0.00064333  0.00001000
         248    2.1026103 -106.9566356 -0.00145667  0.00001000
         371   12.9840890  -98.4975303  0.13686667  0.00039000
         330    2.3559901 -118.4941088 -0.00142000  0.00007667
          46   13.3400548  156.9251320  0.03176333  0.00026333
         184    6.6462799  -52.3319650 -0.00148000  0.00007000
         249   37.1511155  164.3141894  0.06301000  0.00013333
          32    4.1886238   46.1934220 -0.00068000  0.00004667
         298   19.7700131 -143.6322438 -0.00118000  0.00001000
         353    2.9696976 -147.8852731  0.07692000  0.00033000
         235   11.3122227   45.9172329  0.12733333  0.00026000
         273   19.1583161   23.6594403  0.11129000  0.00020000
          95   14.6240961  -15.3439565  0.11239666  0.00030667
         351    7.0091856  103.5661802 -0.00112000  0.00002667
         229   39.3836137  126.1521520  0.09073333  0.00039000
